FID,the_geom,City,latitude,longitude,Country
City_UNESCO_Category0.1,POINT (116.4030813 39.91599707),Beijing,39.91599707,116.4030813,China
City_UNESCO_Category0.2,POINT (-74.07781232 4.617037994),Bogota,4.61703799,-74.07781232,Colombia
City_UNESCO_Category0.3,POINT (-58.3917782 -34.59085399),Buenos Aires,-34.59085399,-58.3917782,Argentina
City_UNESCO_Category0.4,POINT (31.23655996 30.061018),Cairo,30.061018,31.23655996,Egypt
City_UNESCO_Category0.5,POINT (104.0600232 30.66548733),Chengdu,30.66548733,104.0600232,China
City_UNESCO_Category0.6,POINT (120.16142 30.29365),Hangzhou,30.29365,120.16142,China
City_UNESCO_Category0.7,POINT (29.00472285 41.05954045),Istanbul,41.05954045,29.00472285,Turkey
City_UNESCO_Category0.8,POINT (-77.06108098 -12.08287642),Lima,-12.08287642,-77.06108098,Peru
City_UNESCO_Category0.9,POINT (-118.2471559 34.04460365),Los Angeles,34.04460365,-118.2471559,United States of America
City_UNESCO_Category0.10,POINT (-99.12766 19.42847),Mexico City,19.42847,-99.12766,Mexico
City_UNESCO_Category0.11,POINT (2.342758124 48.86443329),Paris,48.86443329,2.34275812,France
City_UNESCO_Category0.12,POINT (-46.64373907 -23.58063904),Sao Paulo,-23.58063904,-46.64373907,Brazil
City_UNESCO_Category0.13,POINT (126.9806556 37.5434437),Seoul,37.5434437,126.9806556,Republic of Korea
City_UNESCO_Category0.14,POINT (121.4746028 31.24490255),Shanghai,31.24490255,121.4746028,China
City_UNESCO_Category0.15,POINT (114.0878553 22.5488828),Shenzhen,22.5488828,114.0878553,China